#,Home,Away,Home_Proj,Away_Proj,xSpread,xTotal,Spread,Total,Spread Edge,Total Edge,Spread Bet,Total Bet,HomeLogo,AwayLogo
57,South Florida,Rice,40.6,16.2,-24.5,56.8,-27.5,60,3,3.2,Rice,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png
58,Auburn,Alabama,20,28.4,8.4,48.4,5.5,47.5,2.9,0.9,Alabama,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
59,USC,UCLA,48.1,20.7,-27.4,68.8,-21.5,59.5,5.9,9.3,USC,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png
60,Illinois,Northwestern,33,24.1,-8.9,57.1,-7,47.5,1.9,9.6,Illinois,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png
61,Tulane,Charlotte,39.5,11,-28.5,50.5,-29.5,53,1,2.5,Charlotte,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
62,NC State,North Carolina,25.1,22.1,-3,47.2,-7.5,47.5,4.5,0.3,North Carolina,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png
63,California,SMU,18,31.5,13.5,49.5,13.5,53.5,0,4,California,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
64,Nevada,UNLV,22.7,34.8,12,57.5,7.5,53.5,4.5,4,UNLV,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
65,Stanford,Notre Dame,14.7,39.1,24.4,53.9,32.5,52.5,8.1,1.4,Stanford,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png
66,San José State,Fresno State,20.1,25.6,5.5,45.7,32.5,52.5,27,6.8,San José State,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png
67,Hawai'i,Wyoming,24.2,15,-9.2,39.2,-8.5,44.5,0.7,5.3,Hawai'i,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
